Number of features is: 3708
Feature at octave: 0, level: 1, x coordinate: 93, y coordinate: 466
Feature at octave: 0, level: 1, x coordinate: 93, y coordinate: 833
Feature at octave: 0, level: 1, x coordinate: 94, y coordinate: 220
Feature at octave: 0, level: 1, x coordinate: 94, y coordinate: 848
Feature at octave: 0, level: 1, x coordinate: 95, y coordinate: 317
Feature at octave: 0, level: 1, x coordinate: 98, y coordinate: 779
Feature at octave: 0, level: 1, x coordinate: 98, y coordinate: 817
Feature at octave: 0, level: 1, x coordinate: 98, y coordinate: 862
Feature at octave: 0, level: 1, x coordinate: 98, y coordinate: 973
Feature at octave: 0, level: 1, x coordinate: 99, y coordinate: 803
Feature at octave: 0, level: 1, x coordinate: 99, y coordinate: 958
Feature at octave: 0, level: 1, x coordinate: 100, y coordinate: 794
Feature at octave: 0, level: 1, x coordinate: 100, y coordinate: 884
Feature at octave: 0, level: 1, x coordinate: 100, y coordinate: 1008
Feature at octave: 0, level: 1, x coordinate: 112, y coordinate: 21
Feature at octave: 0, level: 1, x coordinate: 117, y coordinate: 24
Feature at octave: 0, level: 1, x coordinate: 118, y coordinate: 806
Feature at octave: 0, level: 1, x coordinate: 120, y coordinate: 241
Feature at octave: 0, level: 1, x coordinate: 120, y coordinate: 852
Feature at octave: 0, level: 1, x coordinate: 121, y coordinate: 817
Feature at octave: 0, level: 1, x coordinate: 121, y coordinate: 828
Feature at octave: 0, level: 1, x coordinate: 121, y coordinate: 879
Feature at octave: 0, level: 1, x coordinate: 123, y coordinate: 712
Feature at octave: 0, level: 1, x coordinate: 123, y coordinate: 812
Feature at octave: 0, level: 1, x coordinate: 123, y coordinate: 917
Feature at octave: 0, level: 1, x coordinate: 124, y coordinate: 965
Feature at octave: 0, level: 1, x coordinate: 124, y coordinate: 1008
Feature at octave: 0, level: 1, x coordinate: 125, y coordinate: 974
Feature at octave: 0, level: 1, x coordinate: 126, y coordinate: 837
Feature at octave: 0, level: 1, x coordinate: 127, y coordinate: 941
Feature at octave: 0, level: 1, x coordinate: 127, y coordinate: 985
Feature at octave: 0, level: 1, x coordinate: 128, y coordinate: 852
Feature at octave: 0, level: 1, x coordinate: 129, y coordinate: 914
Feature at octave: 0, level: 1, x coordinate: 130, y coordinate: 1012
Feature at octave: 0, level: 1, x coordinate: 131, y coordinate: 886
Feature at octave: 0, level: 1, x coordinate: 133, y coordinate: 828
Feature at octave: 0, level: 1, x coordinate: 133, y coordinate: 949
Feature at octave: 0, level: 1, x coordinate: 133, y coordinate: 1019
Feature at octave: 0, level: 1, x coordinate: 134, y coordinate: 709
Feature at octave: 0, level: 1, x coordinate: 134, y coordinate: 995
Feature at octave: 0, level: 1, x coordinate: 135, y coordinate: 909
Feature at octave: 0, level: 1, x coordinate: 135, y coordinate: 917
Feature at octave: 0, level: 1, x coordinate: 136, y coordinate: 817
Feature at octave: 0, level: 1, x coordinate: 136, y coordinate: 928
Feature at octave: 0, level: 1, x coordinate: 138, y coordinate: 825
Feature at octave: 0, level: 1, x coordinate: 141, y coordinate: 701
Feature at octave: 0, level: 1, x coordinate: 142, y coordinate: 45
Feature at octave: 0, level: 1, x coordinate: 142, y coordinate: 930
Feature at octave: 0, level: 1, x coordinate: 142, y coordinate: 937
Feature at octave: 0, level: 1, x coordinate: 143, y coordinate: 224
Feature at octave: 0, level: 1, x coordinate: 143, y coordinate: 490
Feature at octave: 0, level: 1, x coordinate: 143, y coordinate: 876
Feature at octave: 0, level: 1, x coordinate: 144, y coordinate: 332
Feature at octave: 0, level: 1, x coordinate: 145, y coordinate: 57
Feature at octave: 0, level: 1, x coordinate: 145, y coordinate: 286
Feature at octave: 0, level: 1, x coordinate: 145, y coordinate: 574
Feature at octave: 0, level: 1, x coordinate: 146, y coordinate: 69
Feature at octave: 0, level: 1, x coordinate: 146, y coordinate: 428
Feature at octave: 0, level: 1, x coordinate: 148, y coordinate: 585
Feature at octave: 0, level: 1, x coordinate: 148, y coordinate: 777
Feature at octave: 0, level: 1, x coordinate: 148, y coordinate: 984
Feature at octave: 0, level: 1, x coordinate: 149, y coordinate: 32
Feature at octave: 0, level: 1, x coordinate: 149, y coordinate: 263
Feature at octave: 0, level: 1, x coordinate: 149, y coordinate: 851
Feature at octave: 0, level: 1, x coordinate: 150, y coordinate: 253
Feature at octave: 0, level: 1, x coordinate: 150, y coordinate: 505
Feature at octave: 0, level: 1, x coordinate: 150, y coordinate: 626
Feature at octave: 0, level: 1, x coordinate: 150, y coordinate: 641
Feature at octave: 0, level: 1, x coordinate: 150, y coordinate: 679
Feature at octave: 0, level: 1, x coordinate: 150, y coordinate: 759
Feature at octave: 0, level: 1, x coordinate: 150, y coordinate: 791
Feature at octave: 0, level: 1, x coordinate: 150, y coordinate: 860
